      SDSS-FIRST Complete Data

    Redshift   Lum. Dist.        K-{opt} f_2500A         f_1.4GHz   L_o,    L_r
                  cm                    erg/(s cm2 Hz)     mJy       erg/(s Hz)  erg/(s Hz)

     0.250700 3.84593e+027      1.26360 2.10292e-027      1.15807 3.09333e+029 1.97380e+030
     0.251200 3.85465e+027      1.25949 8.62226e-028      11.5663 1.27823e+029 1.97998e+031
     0.251700 3.86338e+027      1.25540 1.19349e-027      1.42000 1.78313e+029 2.44145e+030
     0.252300 3.87385e+027      1.25053 1.06272e-026      1.10000 1.60259e+030 1.90117e+030
     0.253100 3.88783e+027      1.24410 1.72195e-027      3.15248 2.62900e+029 5.48654e+030
     0.253800 3.90007e+027      1.23852 4.60916e-027      333.512 7.11331e+029 5.83969e+032
     0.253900 3.90181e+027      1.23773 1.07454e-027      1.59000 1.66088e+029 2.78645e+030
     0.254200 3.90706e+027      1.23536 3.46754e-027      1.29762 5.38442e+029 2.27996e+030
     0.254200 3.90706e+027      1.23536 1.93921e-027      1.03000 3.01121e+029 1.80974e+030
     0.254400 3.91056e+027      1.23378 1.33543e-026      10.2530 2.08003e+030 1.80459e+031
     0.255700 3.93332e+027      1.22364 8.81501e-028      2.09605 1.40054e+029 3.73071e+030
     0.255800 3.93507e+027      1.22287 3.38238e-027      1.54000 5.38218e+029 2.74336e+030
     0.255900 3.93682e+027      1.22209 1.03091e-027      1.31250 1.64293e+029 2.34010e+030
     0.256300 3.94383e+027      1.21901 1.17495e-027      2.57461 1.88390e+029 4.60612e+030
     0.256600 3.94909e+027      1.21671 1.52343e-027      2.40000 2.45378e+029 4.30479e+030
     0.258000 3.97364e+027      1.20609 1.15884e-027      4.49000 1.90646e+029 8.15036e+030
     0.258300 3.97891e+027      1.20384 3.57784e-027      4.16000 5.91274e+029 7.57064e+030
     0.258600 3.98417e+027      1.20160 1.86561e-027      3.70061 3.09704e+029 6.75181e+030
     0.259100 3.99295e+027      1.19788 3.86207e-027      53.1837 6.45960e+029 9.74471e+031
     0.259200 3.99471e+027      1.19714 8.27984e-028      1.69000 1.38694e+029 3.09917e+030
