                              | |                              |      |          |    |      | SDSS-DR6 u  | SDSS-DR6 u  | SDSS-DR6 g  | SDSS-DR6 g  | SDSS-DR6 r  | SDSS-DR6 r  | SDSS-DR6 i  | SDSS-DR6 i  | SDSS-DR6 z  | SDSS-DR6 z  |    FIRST    |    FIRST    
      Input Object Name       | |         Object Name          |Object| Redshift | z  |Mag./ |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   PSF AB    |   1.4 GHz   |   1.4 GHz   
                              | | (* Hover for Essential Note) | Type |          |Qual|Filter|  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  |  Pub-flux   | Homog-flux  
                              | |                              |      |          |    |      |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |  asinh mag  |  W/m^2/Hz   |   milliJy   |  W/m^2/Hz    
PKS0601-70                    |*|PKS 0601-70                   |QSO   |  2.409000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0605-08                    | |[HB89] 0605-085               |QSO   |  0.872000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0608-1520                 | |WISE J060801.52-152036.9      |QSO   |  1.094000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
PKS0609-609                   | |PKS 0609-609                  |QSO   |  1.773000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
1REXJ061757+7816.1            | |GALEXMSC J061757.29+781606.2  |G     |  1.430000|    | 19.8R|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0625-5438                 | |ACT-S J062552-543856          |QSO   |  2.051000|    | 18.9R|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0634-2335                 |*|WISE J063459.00-233511.9      |QSO   |  1.535000|    | 21.5R|             |             |             |             |             |             |             |             |             |             |             |             
PKS0637-75                    | |[HB89] 0637-752               |QSO   |  0.653000|    | 15.7R|             |             |             |             |             |             |             |             |             |             |             |             
S50633+73                     | |WISE J063921.94+732458.0      |QSO   |  1.850000|    |  17.8|             |             |             |             |             |             |             |             |             |             |             |             
PKS0644-390                   | |PKS 0644-390                  |QSO   |  0.681000|    |  18.5|             |             |             |             |             |             |             |             |             |             |             |             
PKS0646-306                   |*|PKS 0646-306                  |QSO   |  0.455000|    |  18.6|             |             |             |             |             |             |             |             |             |             |             |             
B30650+453                    | |B3 0650+453                   |QSO   |  0.933000|   :|  21.0|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0654+5042                 | |WISE J065422.06+504223.7      |QSO   |  1.253000|    | 16.13|             |             |             |             |             |             |             |             |             |             |             |             
PKS0700-465                   | |PKS 0700-465                  |QSO   |  0.822000|    | 19.5B|             |             |             |             |             |             |             |             |             |             |             |             
MG2J071354+1934               | |WISE J071355.67+193500.4      |QSO   |  0.540000|    | 18.6V|             |             |             |             |             |             |             |             |             |             |             |             
B20716+33                     | |FBQS J071919.4+330709         |QSO   |  0.779000|    |  17.0|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0723+2859                 | |WISE J072354.83+285929.9      |RadioS|          |    |      |             |             |             |             |             |             |             |             |             |             |             |             
4C+14.23                      | |4C +14.23                     |QSO   |  1.038000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PMNJ0726-4728                 | |WISE J072626.23-472853.3      |QSO   |  1.686000|    | 19.1R|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0731+6718                 | |WISE J073125.40+671847.0      |G     |  0.170000|    |      |             |             |             |             |             |             |             |             |             |             |             |             
TXS0730+504                   |*|WISE J073352.51+502209.1      |QSO   |  0.720000|    |  19.0|             |             |             |             |             |             |             |             |             |             |             |             
PKS0736+01                    | |[HB89] 0736+017               |QSO   |  0.189410|    | 16.47|             |             |             |             |             |             |             |             |             |             |             |             
GB6J0742+5444                 | |2MASS J07423979+5444247       |QSO   |  0.720000|    |  17.7|             |             |             |             |             |             |             |             |             |             |             |             
